noise,complexity,foresight,K,TauL,C_react,C_pred
0.00,10,1,0.035,50.000,1,0
0.00,10,2,0.026,50.000,2,0
0.00,10,3,0.017,50.000,1,0
0.00,10,4,0.038,50.000,0,0
0.00,10,5,0.061,50.000,3,0
0.00,15,1,0.110,10.513,5,0
0.00,15,2,0.071,50.000,2,0
0.00,15,3,0.081,50.000,3,0
0.00,15,4,0.048,50.000,3,0
0.00,15,5,0.069,50.000,4,0
0.00,20,1,0.081,50.000,3,0
0.00,20,2,0.107,50.000,4,0
0.00,20,3,0.110,50.000,3,0
0.00,20,4,0.094,8.418,4,0
0.00,20,5,0.120,6.212,5,0
0.00,25,1,0.116,5.513,5,1
0.00,25,2,0.109,50.000,5,0
0.00,25,3,0.120,3.215,5,0
0.00,25,4,0.101,15.194,4,0
0.00,25,5,0.115,50.000,5,0
0.00,30,1,0.120,9.769,5,2
0.00,30,2,0.097,50.000,4,1
0.00,30,3,0.095,50.000,5,0
0.00,30,4,0.119,10.433,5,0
0.00,30,5,0.098,50.000,5,0
0.00,35,1,0.120,7.181,4,2
0.00,35,2,0.115,50.000,5,0
0.00,35,3,0.120,6.331,4,0
0.00,35,4,0.120,8.132,5,0
0.00,35,5,0.112,6.090,5,0
0.00,40,1,0.115,50.000,5,1
0.00,40,2,0.127,3.035,5,0
0.00,40,3,0.118,4.902,5,0
0.00,40,4,0.116,4.268,5,0
0.00,40,5,0.121,10.990,5,0
0.00,45,1,0.112,50.000,5,0
0.00,45,2,0.107,50.000,4,0
0.00,45,3,0.112,50.000,5,0
0.00,45,4,0.104,50.000,4,0
0.00,45,5,0.111,50.000,5,1
0.00,50,1,0.115,50.000,5,2
0.00,50,2,0.115,7.587,5,0
0.00,50,3,0.111,50.000,5,0
0.00,50,4,0.121,3.050,5,0
0.00,50,5,0.130,3.082,5,0
0.00,55,1,0.113,50.000,5,0
0.00,55,2,0.103,50.000,5,0
0.00,55,3,0.110,13.668,5,0
0.00,55,4,0.110,50.000,4,0
0.00,55,5,0.103,50.000,5,0
0.00,60,1,0.082,50.000,2,0
0.00,60,2,0.088,50.000,3,0
0.00,60,3,0.082,50.000,3,0
0.00,60,4,0.081,50.000,3,0
0.00,60,5,0.081,50.000,4,0
0.05,10,1,0.030,69.581,3,0
0.05,10,2,0.037,50.000,3,2
0.05,10,3,0.023,145.043,0,2
0.05,10,4,0.022,203.915,0,1
0.05,10,5,0.019,150.463,2,2
0.05,15,1,0.077,0.525,4,2
0.05,15,2,0.070,106.442,3,1
0.05,15,3,0.053,4.895,5,0
0.05,15,4,0.061,112.585,2,3
0.05,15,5,0.062,0.828,2,1
0.05,20,1,0.089,0.554,5,0
0.05,20,2,0.080,0.539,4,2
0.05,20,3,0.091,0.550,1,2
0.05,20,4,0.094,0.522,4,3
0.05,20,5,0.096,0.460,3,2
0.05,25,1,0.132,0.446,5,3
0.05,25,2,0.119,0.469,5,0
0.05,25,3,0.098,0.517,3,2
0.05,25,4,0.105,0.455,4,2
0.05,25,5,0.122,0.450,5,1
0.05,30,1,0.125,0.463,5,3
0.05,30,2,0.135,0.446,5,3
0.05,30,3,0.139,0.414,5,2
0.05,30,4,0.116,0.455,5,3
0.05,30,5,0.135,0.427,5,2
0.05,35,1,0.141,0.405,5,3
0.05,35,2,0.138,0.412,5,3
0.05,35,3,0.138,0.402,5,5
0.05,35,4,0.133,0.409,5,4
0.05,35,5,0.137,0.422,5,2
0.05,40,1,0.140,0.403,5,3
0.05,40,2,0.140,0.407,5,4
0.05,40,3,0.141,0.414,5,4
0.05,40,4,0.137,0.414,5,3
0.05,40,5,0.140,0.412,5,3
0.05,45,1,0.141,0.404,5,3
0.05,45,2,0.138,0.410,5,4
0.05,45,3,0.144,0.393,5,5
0.05,45,4,0.144,0.385,5,2
0.05,45,5,0.147,0.396,5,5
0.05,50,1,0.145,0.390,5,4
0.05,50,2,0.140,0.396,5,3
0.05,50,3,0.150,0.394,5,4
0.05,50,4,0.146,0.390,5,4
0.05,50,5,0.148,0.393,5,5
0.05,55,1,0.147,0.382,5,5
0.05,55,2,0.146,0.396,5,3
0.05,55,3,0.142,0.393,5,3
0.05,55,4,0.146,0.388,5,4
0.05,55,5,0.142,0.386,5,3
0.05,60,1,0.144,0.380,5,4
0.05,60,2,0.144,0.382,5,3
0.05,60,3,0.139,0.385,5,4
0.05,60,4,0.142,0.383,5,5
0.05,60,5,0.148,0.380,5,4
0.10,10,1,0.030,169.175,2,3
0.10,10,2,0.036,123.499,1,4
0.10,10,3,0.039,167.496,1,2
0.10,10,4,0.028,173.469,2,2
0.10,10,5,0.030,143.558,0,1
0.10,15,1,0.063,0.845,4,1
0.10,15,2,0.061,81.188,3,2
0.10,15,3,0.055,98.519,4,3
0.10,15,4,0.060,21.230,3,3
0.10,15,5,0.055,15.518,4,3
0.10,20,1,0.108,0.419,5,4
0.10,20,2,0.097,0.463,4,2
0.10,20,3,0.090,0.472,4,4
0.10,20,4,0.104,0.443,5,4
0.10,20,5,0.107,0.434,4,3
0.10,25,1,0.129,0.388,4,3
0.10,25,2,0.123,0.412,5,4
0.10,25,3,0.125,0.389,5,3
0.10,25,4,0.123,0.407,5,4
0.10,25,5,0.119,0.420,5,4
0.10,30,1,0.142,0.374,5,2
0.10,30,2,0.142,0.368,5,3
0.10,30,3,0.133,0.389,5,4
0.10,30,4,0.144,0.364,5,5
0.10,30,5,0.145,0.374,5,5
0.10,35,1,0.156,0.361,5,5
0.10,35,2,0.159,0.356,5,5
0.10,35,3,0.151,0.362,5,5
0.10,35,4,0.153,0.363,5,5
0.10,35,5,0.148,0.367,5,4
0.10,40,1,0.150,0.357,5,4
0.10,40,2,0.152,0.360,5,4
0.10,40,3,0.150,0.361,5,4
0.10,40,4,0.150,0.364,5,4
0.10,40,5,0.150,0.357,5,5
0.10,45,1,0.155,0.355,5,5
0.10,45,2,0.153,0.355,5,5
0.10,45,3,0.159,0.354,5,5
0.10,45,4,0.152,0.353,5,4
0.10,45,5,0.155,0.360,5,5
0.10,50,1,0.152,0.355,5,5
0.10,50,2,0.157,0.352,5,5
0.10,50,3,0.157,0.356,5,5
0.10,50,4,0.153,0.352,5,5
0.10,50,5,0.156,0.353,5,5
0.10,55,1,0.160,0.353,5,5
0.10,55,2,0.160,0.349,5,5
0.10,55,3,0.155,0.353,5,5
0.10,55,4,0.156,0.349,5,5
0.10,55,5,0.153,0.354,5,5
0.10,60,1,0.156,0.346,5,5
0.10,60,2,0.157,0.348,5,5
0.10,60,3,0.156,0.343,5,5
0.10,60,4,0.154,0.346,5,5
0.10,60,5,0.155,0.346,5,5
0.15,10,1,0.035,100.600,1,1
0.15,10,2,0.033,100.880,2,3
0.15,10,3,0.035,132.365,4,2
0.15,10,4,0.035,110.722,4,5
0.15,10,5,0.036,82.198,1,4
0.15,15,1,0.074,0.483,5,4
0.15,15,2,0.063,0.514,4,2
0.15,15,3,0.063,0.529,4,3
0.15,15,4,0.062,0.519,3,3
0.15,15,5,0.071,0.572,4,3
0.15,20,1,0.099,0.429,5,4
0.15,20,2,0.119,0.400,5,5
0.15,20,3,0.122,0.410,5,5
0.15,20,4,0.122,0.402,5,4
0.15,20,5,0.104,0.420,5,5
0.15,25,1,0.135,0.370,5,4
0.15,25,2,0.137,0.362,5,4
0.15,25,3,0.139,0.360,5,5
0.15,25,4,0.132,0.360,5,3
0.15,25,5,0.139,0.362,5,4
0.15,30,1,0.144,0.367,5,5
0.15,30,2,0.151,0.348,5,5
0.15,30,3,0.149,0.352,5,3
0.15,30,4,0.149,0.357,5,5
0.15,30,5,0.148,0.351,5,4
0.15,35,1,0.155,0.347,5,5
0.15,35,2,0.154,0.348,5,5
0.15,35,3,0.151,0.347,5,4
0.15,35,4,0.153,0.347,5,5
0.15,35,5,0.153,0.345,5,5
0.15,40,1,0.162,0.342,5,5
0.15,40,2,0.154,0.340,5,5
0.15,40,3,0.155,0.345,5,5
0.15,40,4,0.156,0.341,5,5
0.15,40,5,0.156,0.343,5,5
0.15,45,1,0.158,0.339,5,5
0.15,45,2,0.160,0.345,5,5
0.15,45,3,0.158,0.344,5,5
0.15,45,4,0.156,0.340,5,4
0.15,45,5,0.159,0.342,5,5
0.15,50,1,0.156,0.341,5,5
0.15,50,2,0.158,0.340,5,5
0.15,50,3,0.161,0.340,5,5
0.15,50,4,0.157,0.339,5,5
0.15,50,5,0.161,0.340,5,5
0.15,55,1,0.159,0.342,5,5
0.15,55,2,0.157,0.339,5,5
0.15,55,3,0.159,0.339,5,5
0.15,55,4,0.160,0.337,5,5
0.15,55,5,0.160,0.338,5,5
0.15,60,1,0.158,0.335,5,5
0.15,60,2,0.161,0.336,5,5
0.15,60,3,0.158,0.336,5,5
0.15,60,4,0.161,0.335,5,5
0.15,60,5,0.164,0.336,5,5
0.20,10,1,0.039,3.112,5,3
0.20,10,2,0.043,3.791,4,4
0.20,10,3,0.043,6.520,3,1
0.20,10,4,0.041,0.853,2,4
0.20,10,5,0.037,0.959,4,2
0.20,15,1,0.068,0.477,5,5
0.20,15,2,0.065,0.458,4,5
0.20,15,3,0.063,0.455,5,4
0.20,15,4,0.067,0.465,4,5
0.20,15,5,0.067,0.479,2,5
0.20,20,1,0.113,0.381,5,5
0.20,20,2,0.114,0.384,5,4
0.20,20,3,0.109,0.379,5,5
0.20,20,4,0.120,0.397,5,5
0.20,20,5,0.111,0.401,5,4
0.20,25,1,0.143,0.354,5,5
0.20,25,2,0.142,0.350,5,5
0.20,25,3,0.145,0.349,5,5
0.20,25,4,0.147,0.352,5,5
0.20,25,5,0.140,0.357,5,5
0.20,30,1,0.148,0.343,5,4
0.20,30,2,0.153,0.345,5,5
0.20,30,3,0.153,0.341,5,5
0.20,30,4,0.156,0.343,5,5
0.20,30,5,0.153,0.344,5,5
0.20,35,1,0.157,0.339,5,5
0.20,35,2,0.155,0.339,5,5
0.20,35,3,0.154,0.340,5,5
0.20,35,4,0.155,0.339,5,5
0.20,35,5,0.155,0.337,5,5
0.20,40,1,0.156,0.336,5,5
0.20,40,2,0.158,0.335,5,5
0.20,40,3,0.157,0.337,5,5
0.20,40,4,0.160,0.336,5,5
0.20,40,5,0.156,0.335,5,5
0.20,45,1,0.158,0.334,5,5
0.20,45,2,0.161,0.333,5,5
0.20,45,3,0.159,0.334,5,5
0.20,45,4,0.164,0.333,5,5
0.20,45,5,0.159,0.337,5,5
0.20,50,1,0.161,0.332,5,5
0.20,50,2,0.161,0.331,5,5
0.20,50,3,0.162,0.333,5,5
0.20,50,4,0.165,0.335,5,5
0.20,50,5,0.159,0.332,5,5
0.20,55,1,0.170,0.330,5,5
0.20,55,2,0.164,0.331,5,5
0.20,55,3,0.167,0.332,5,5
0.20,55,4,0.164,0.330,5,5
0.20,55,5,0.163,0.332,5,5
0.20,60,1,0.160,0.332,5,5
0.20,60,2,0.162,0.331,5,5
0.20,60,3,0.164,0.332,5,5
0.20,60,4,0.162,0.330,5,5
0.20,60,5,0.163,0.331,5,5
0.25,10,1,0.043,0.499,5,4
0.25,10,2,0.045,0.535,2,5
0.25,10,3,0.045,0.506,4,4
0.25,10,4,0.050,0.495,3,3
0.25,10,5,0.045,0.501,4,3
0.25,15,1,0.076,0.430,5,5
0.25,15,2,0.087,0.444,5,5
0.25,15,3,0.078,0.416,4,4
0.25,15,4,0.082,0.431,5,5
0.25,15,5,0.076,0.450,3,5
0.25,20,1,0.129,0.364,5,5
0.25,20,2,0.119,0.374,5,5
0.25,20,3,0.126,0.361,5,5
0.25,20,4,0.117,0.368,4,4
0.25,20,5,0.117,0.367,5,5
0.25,25,1,0.143,0.352,5,5
0.25,25,2,0.156,0.340,5,5
0.25,25,3,0.148,0.344,5,5
0.25,25,4,0.147,0.345,5,5
0.25,25,5,0.144,0.347,5,5
0.25,30,1,0.156,0.337,5,5
0.25,30,2,0.151,0.338,5,5
0.25,30,3,0.154,0.337,5,5
0.25,30,4,0.157,0.336,5,5
0.25,30,5,0.151,0.340,5,5
0.25,35,1,0.159,0.332,5,5
0.25,35,2,0.156,0.335,5,5
0.25,35,3,0.158,0.336,5,5
0.25,35,4,0.157,0.332,5,5
0.25,35,5,0.155,0.335,5,5
0.25,40,1,0.159,0.332,5,5
0.25,40,2,0.164,0.331,5,5
0.25,40,3,0.160,0.330,5,5
0.25,40,4,0.163,0.332,5,5
0.25,40,5,0.158,0.330,5,5
0.25,45,1,0.161,0.329,5,5
0.25,45,2,0.162,0.329,5,5
0.25,45,3,0.159,0.330,5,5
0.25,45,4,0.163,0.331,5,5
0.25,45,5,0.160,0.332,5,5
0.25,50,1,0.163,0.329,5,5
0.25,50,2,0.169,0.329,5,5
0.25,50,3,0.164,0.329,5,5
0.25,50,4,0.160,0.329,5,5
0.25,50,5,0.166,0.330,5,5
0.25,55,1,0.164,0.329,5,5
0.25,55,2,0.165,0.329,5,5
0.25,55,3,0.170,0.328,5,5
0.25,55,4,0.159,0.328,5,5
0.25,55,5,0.164,0.329,5,5
0.25,60,1,0.166,0.326,5,5
0.25,60,2,0.162,0.329,5,5
0.25,60,3,0.164,0.328,5,5
0.25,60,4,0.165,0.328,5,5
0.25,60,5,0.168,0.327,5,5
0.30,10,1,0.051,0.481,5,4
